NIF,Clinic,Weekday
725983445,Clínica Melo e Filhos,5
421946518,Clínica Matias,2
421946518,Clínica Cunha,4
421946518,Clínica Machado,4
421946518,Clínica Matias,1
182088036,Clínica Matias,6
182088036,Clínica Cunha,2
182088036,Clínica Machado,6
182088036,Clínica Carneiro e Filhos,1
182088036,Clínica Melo e Filhos,1
798765740,Clínica Melo e Filhos,2
798765740,Clínica Matias,2
798765740,Clínica Matias,6
798765740,Clínica Carneiro e Filhos,3
798765740,Clínica Melo e Filhos,6
642438372,Clínica Carneiro e Filhos,3
642438372,Clínica Matias,4
642438372,Clínica Machado,1
642438372,Clínica Matias,2
664879415,Clínica Carneiro e Filhos,2
664879415,Clínica Matias,1
664879415,Clínica Cunha,4
664879415,Clínica Melo e Filhos,6
588236595,Clínica Machado,2
588236595,Clínica Cunha,6
588236595,Clínica Carneiro e Filhos,3
588236595,Clínica Carneiro e Filhos,6
672411080,Clínica Matias,3
672411080,Clínica Machado,1
672411080,Clínica Machado,5
672411080,Clínica Carneiro e Filhos,3
405537261,Clínica Machado,7
405537261,Clínica Carneiro e Filhos,5
405537261,Clínica Cunha,4
405537261,Clínica Melo e Filhos,2
812521065,Clínica Machado,6
812521065,Clínica Carneiro e Filhos,7
812521065,Clínica Cunha,5
812521065,Clínica Matias,4
812521065,Clínica Carneiro e Filhos,6
812521065,Clínica Melo e Filhos,6
683882973,Clínica Machado,7
683882973,Clínica Cunha,7
683882973,Clínica Cunha,1
683882973,Clínica Melo e Filhos,4
683882973,Clínica Melo e Filhos,5
433470376,Clínica Cunha,1
433470376,Clínica Machado,4
433470376,Clínica Machado,2
433470376,Clínica Machado,7
433470376,Clínica Melo e Filhos,5
882566786,Clínica Melo e Filhos,7
882566786,Clínica Machado,7
882566786,Clínica Cunha,1
882566786,Clínica Machado,5
882566786,Clínica Matias,1
882566786,Clínica Carneiro e Filhos,4
909580730,Clínica Carneiro e Filhos,6
909580730,Clínica Machado,7
909580730,Clínica Machado,2
