SSN,NIF,Name,Phone,Address,Birthdate
260772411,430513857,Yara Carvalho,950355589,Tomar Alameda do Evaristo S/N 2063-822,1970-07-18
608280034,235512726,Sofia da Mota,974475635,Santiago do Cacém Avenida de Matias 8 6731-147,1988-01-26
463989864,356834837,Jéssica Martins,970245764,Gouveia Largo Vicente Nogueira 20 2208-817,1978-05-28
671174165,294507756,Raquel Tavares,978341665,Rio Maior Rua de Sousa 71 6228-376,1977-08-11
239505179,116122047,Júlia de Mendes,900982965,Ermesinde Alameda Filipa Sousa 966 5692-784,1973-03-12
254408008,479394140,Rui Vicente,994750579,Rebordosa Alameda Mateus Gaspar 86 9127-655,1998-05-11
145121996,889130371,Ariana Leite,957753389,Vendas Novas Av Prof. António José Saraiva 23 3163-698,1977-09-24
385565884,432407256,Luana Gonçalves,996236088,Amadora Travessa de Cunha S/N 5925-372,1972-07-03
832666504,738525583,César Faria,934968083,Maia R. de Cunha 9 7133-057,1991-12-18
743663349,232207831,Mafalda da Andrade,905380026,Santiago do Cacém Av das Gáveas ao Parque das Nações S/N 4917-963,1991-10-26
436326862,551468214,Denis Melo,931223410,São Salvador de Lordelo Rua de Magalhães 61 9948-224,1965-08-08
705707354,952753288,Enzo Torres-Correia,984675748,Paredes Travessa Salvador Gaspar 69 1017-773,1956-09-14
738400669,805172294,Carlota Leal-Fernandes,987532537,Reguengos de Monsaraz R. de Melo S/N 3204-106,1971-12-10
912058848,369145944,Tiago Fonseca,950522089,Gondomar Av de Sousa 36 7755-348,1951-07-18
357824792,442038696,Lucas Nunes,971588848,Alcobaça R. Marta Rodrigues 310 8006-614,1965-09-11
482913267,957374497,Lúcia-Rafaela Faria,951499081,Montemor-o-Novo Av Vieira 52 4535-688,2006-02-21
410338332,916470123,Júlia Gomes,944964320,Guarda Praça do Castelo do Queijo 89 1128-834,2001-12-18
271052980,404572743,Andreia Marques,979205679,Fundão Praça Jéssica Maia 926 4825-679,1988-05-24
839403064,334738073,Carlota Torres,941107576,Póvoa de Varzim Praça de Pires 157 6306-603,1985-08-31
767191575,185263444,Ivan Domingues,913802003,Trofa Av de Garcia 10 0553-947,1957-08-17
851188832,395124317,Erica Pinheiro,993938682,Portimão R. Naiara Teixeira 30 9434-637,1956-02-05
532590567,830369026,Mara Neves,925779649,Gandra Alameda de Mota 9 9695-571,1996-01-14
570088471,912332976,Salomé Lopes,930493783,Mangualde Alameda Rocha 94 9280-600,1951-01-24
316459674,116999635,Rafael do Pinho,980145053,Quarteira Av Débora Pinto 18 4858-384,1977-03-17
101856447,892367442,Cláudio Vieira,925827420,Ermesinde Avenida Francisco Loureiro 94 5299-390,1960-09-29
964738346,174452815,Benedita Vaz,951649254,Funchal R. Miriam Araújo S/N 4828-580,1985-05-19
126622620,974823984,Melissa Vaz,900896908,Elvas Rua das Mimosas S/N 4972-716,2004-02-27
480774225,597656580,Vasco Pires,913347381,Viseu Rua Filipe Vaz 21 7263-188,1999-07-31
589147280,142069642,Pilar Gomes,934635641,Seixal R. Silva Porto 53 5719-820,1989-10-13
906603876,774605280,Emília-Francisca Castro,938194161,Amarante Travessa da Aldeia 835 3470-974,1955-01-07
130580721,863967214,Miguel Magalhães,961865746,Albufeira Rua de Paiva 90 8396-226,2003-11-15
488333518,870662998,Luciana Batista,920820293,Pombal Av de Cardoso S/N 8227-809,1986-07-04
448218341,437357425,Clara de Tavares,906328569,Santarém Alameda da Senhora da Luz 5 7274-218,1954-11-13
418899398,285787448,Ema Marques,953422719,Paredes Av Leonardo Cunha 6 6538-666,1962-07-28
556308852,343515669,Erica Tavares,970643773,Tondela Alameda de Campos 528 8267-565,1977-07-09
636596163,432776710,Matilde Sá,972787763,Oliveira de Azeméis Rua de Esteves S/N 4692-874,1968-06-12
259131796,130144636,Margarida Ramos,942614935,Fafe Alameda Baptista 71 0298-430,1988-02-01
972339570,196328361,Marta de Mota,951125487,Santa Maria da Feira Largo de Pinheiro 7 6074-089,1947-11-18
976400329,316482156,Mateus Vaz-Neves,907834828,Peniche Avenida Bernardo Reis 46 9273-819,1986-03-26
297498356,514651259,Adriana de Lopes,944395005,Portimão Rua Morais 532 9736-541,1975-06-25
368510536,985617671,Cristiano Silva,996340384,Rio Tinto R. Fernandes S/N 8930-334,1999-04-16
857007690,204420843,Jorge Castro,997275518,Ourém Av Campos 78 0766-181,1983-05-04
125928954,190009310,Júlia Teixeira,924845169,Amadora Rua de Nogueira 31 4970-590,1960-03-05
894670874,994972510,Matias de Torres,955811022,Queluz Av Cardoso 98 2725-286,1979-07-25
869753464,637634195,Noah Pinho,908304668,Bragança R. de Sidónio Pais 14 3083-427,1974-08-10
732021685,325001070,Jaime Pires,942362891,Vila Nova de Famalicão Rua Neto 350 6804-646,2004-03-27
135852178,976106676,Martim Coelho,983478956,Ílhavo Av Márcio Moura 42 8879-115,1988-04-15
676047629,779240679,Carminho Neves,946641209,Guarda Largo Soares 6 9486-796,1970-09-05
747021371,255029347,Sara Gaspar,993479435,Gandra Avenida Filipe Oliveira 1 3280-256,1947-06-19
267717588,406738539,Clara Andrade,921457426,Bragança Av Assunção 450 9881-488,1966-11-18
777836091,583608531,Fabiana Moreira-Neves,946116367,Espinho Praça de Camilo 935 5353-701,1973-04-20
687907967,188638333,Caetana Marques,968845523,Marco de Canaveses Av de Eça de Queirós 6 3520-806,1959-09-25
828332879,900452714,Sara-Victória Moreira,957074541,Montijo Travessa Almeida S/N 3571-127,1948-08-12
435565482,221668935,Victória Nunes,943133451,Aveiro Praça Maria de Lourdes Sá Teixeira 97 2945-671,1993-01-10
556216207,848004514,Andreia Azevedo,952457904,Funchal Avenida Mário Ferreira 92 5863-689,1950-11-08
374241267,566386771,Marco Maia,900562962,Lamego Avenida Simões 70 4027-311,1990-04-07
535630892,648733789,Cláudio Jesus,906505344,Póvoa de Varzim Travessa da Pedreira S/N 1494-497,1993-09-25
855216452,311502995,Fabiana Ramos,931497361,Paredes Alameda de Borges 81 9780-948,1964-06-26
200329371,915410599,Núria Mendes,977037434,Marinha Grande Avenida de Abreu 4 7090-756,2003-04-05
483373303,155763590,Samuel Pinho,918749898,Tondela Largo do Sequeiro 51 8544-525,1976-10-08
198481028,120491495,Camila Barros,999589631,Esmoriz Largo de Cruz 80 6359-383,1996-04-29
417682415,529257459,Ema Santos,974905696,Abrantes Travessa Henriques 6 8803-147,1959-10-11
700341569,201695489,Gaspar Henriques,942808652,São João da Madeira Praça de Santana 41 0735-400,1957-10-30
775869728,102942590,Marta Pacheco,978171085,Leiria Rua Lorena Cruz 5 1447-683,1986-07-19
223357704,668486055,Francisca Paiva,935974391,Sabugal R. Alves 38 2685-298,1957-07-05
464723892,658858883,Ricardo Mendes,969850543,Fiães Av Guerreiro S/N 7300-145,1992-08-31
668144821,830440441,Teresa Maia,940123385,Agualva-Cacém Rua de Leal 89 3053-910,1950-06-27
215350915,668975357,Yara de Barros,932306240,Fátima R. Lima 87 8427-181,2000-03-26
995570219,736114499,Guilherme Marques-Matias,959038012,Vila Nova de Foz Côa Travessa do Codeçal 52 2653-757,1958-12-02
396640907,491261879,Vítor Macedo,986280584,Chaves Avenida de Camilo S/N 7323-393,1963-06-04
986069357,257134959,Lourenço Costa,985346260,Lourosa R. Soares 5 9750-599,1964-08-30
232773224,106402883,Gabriela Pinto,913834146,Loulé Alameda do Levante 9 2550-656,1953-08-17
667343666,358592940,Miriam Amaral,947815009,Penafiel Av de Guerreiro S/N 0716-365,1986-09-25
916402567,601473734,Edgar do Lourenço,942499932,Lagos Av da Bouça 636 2114-422,1980-07-31
199662691,311744044,Maria Melo,995583524,Porto Santo Rua de Moura 88 5441-621,1996-12-26
956468810,600111229,Alexandre Barbosa,923173595,Vizela Alameda Clara Loureiro 16 3180-035,1973-09-20
767890714,164313532,Ariana Loureiro,917632770,Costa da Caparica Praça Leonardo Amorim 44 2519-824,1975-07-14
815050002,770806471,Marta Teixeira,917729296,Faro Rua das Nações 2 2517-539,1961-12-30
515255803,904064386,Salomé Fonseca,993253709,Oliveira do Bairro Largo de Macedo 82 0842-183,1969-02-23
689090523,951840001,Kelly-Raquel Neves,906542046,Sabugal Travessa Leite S/N 8834-643,1962-02-19
376112661,880073909,Isabela Lima,924628682,São Mamede de Infesta Alameda das Pirogas 41 7071-828,1997-12-17
112887027,228827497,Carlota Ribeiro,960711075,Ílhavo Praça de Macedo 49 7126-379,1971-12-12
876402815,272001058,Letícia Baptista,986608153,Lagoa Rua Marco Valente S/N 6718-538,1991-06-05
693581479,791683512,Caetana-Gabriela Matias,951350384,Fiães Praça das Fragatas 211 9082-120,1967-01-05
428775366,253884962,Andreia Garcia,998472237,Póvoa de Santa Iria Largo dos Aventureiros 9 5904-584,1969-02-18
510894607,947164971,Vitória Ferreira,988538084,Santana Praça de Palma 3 6294-833,1993-05-24
813768045,304419867,Pedro Loureiro,990218252,Vila Franca de Xira Av de Antunes 35 1368-366,1983-04-08
899690323,225449282,Diogo Lima,929495543,Horta Praça do Adro 7 2700-737,2005-01-26
583900533,328558161,Miguel Assunção,915635818,Costa da Caparica Alameda Gomes 33 9256-701,1993-11-01
345806158,402684572,Carminho Campos-Neves,918645342,Aveiro Alameda do Bicalho 7 8994-679,1959-09-08
939196733,348849938,José Lourenço,996815185,Guarda Travessa Alice Freitas 67 9249-168,1991-10-05
493675363,212649749,Gil Mendes,920590735,Reguengos de Monsaraz Praça de Matias S/N 9732-542,1948-04-17
985813291,394226516,Marco Henriques,920623811,Portimão Rua Nascimento 7 8202-154,1985-05-28
124775138,583442176,Ângela Neves,918378186,Angra do Heroísmo Largo do Roleto 74 0585-619,1998-06-09
365348012,706347271,Carlos Fernandes-Leite,943881750,Amarante Praça de Torres 75 8944-979,1946-06-18
658362200,611721365,Ismael Batista,981944244,Estremoz Largo Morais 5 9400-680,1982-08-14
816492896,449211556,Nelson Santos-Vicente,997401486,São João da Madeira Avenida Carlota Magalhães 23 9028-733,1972-12-21
960249387,723586955,César Magalhães-Sousa,961400070,Macedo de Cavaleiros Avenida dos Navegadores 7 2827-580,2001-12-24
940407938,621421834,Inês Fonseca,916106866,Cantanhede Largo dos Aventureiros S/N 1511-041,1949-08-16
157971833,752071880,Naiara Carneiro,950609104,Silves Rua Carneiro 896 0247-036,1949-01-16
666409238,104953136,Guilherme Guerreiro,936245266,Póvoa de Santa Iria Praça Associação Empresarial de Portugal 70 9243-018,1949-11-24
812124690,621119707,Emanuel Campos,917032153,Mêda Praça de Simões S/N 7650-505,1986-05-21
921882070,781382587,Paulo de Vaz,957126903,Santa Comba Dão R. Antunes S/N 7645-459,1971-05-25
579166981,316823448,Filipa Figueiredo,975311682,Vila Nova de Gaia Avenida de São João de Deus 934 3090-927,1997-11-27
765571651,848273381,Nair Melo,955025398,Esposende R. Valente 56 7736-623,1962-12-12
835567633,920502854,Joaquim Fonseca-Andrade,939805453,Peso da Régua R. Coelho 44 2515-968,1975-03-19
818249049,574845777,Nádia Reis-Branco,993877826,Vila Real de Santo António Largo Herculano 7 0486-017,1954-10-07
152956936,855405109,Juliana Pires-Paiva,958309564,Oliveira do Hospital Av de Carreiras 40 5709-764,1981-01-03
858351124,263855301,Noa Abreu-Pacheco,946490427,São João da Madeira R. do Carvão S/N 3704-364,1958-05-14
204782073,570612657,Gaspar Mota,938910780,Portimão Av de Andrade S/N 5464-823,1994-04-22
830523560,811437180,Mauro do Freitas,973634436,Barreiro Largo Rúben Machado 807 2598-985,1976-10-16
304841650,700241796,Márcio Matos,959605597,Vale de Cambra Travessa Beatriz Neves 98 4900-058,1986-02-01
773850872,112559118,Iara-Margarida Fonseca,978854059,Tomar Praça de Neves S/N 3472-642,1963-11-06
704474198,273588005,Marcos Neto,949649848,Oliveira do Bairro Av Tavares 66 3453-681,1956-11-28
107345431,923365369,Ana Pereira,984631373,Pinhel Largo de Vicente 11 3142-186,1968-10-12
146700133,450373980,Francisca Leal,957360562,Castelo Branco Avenida das Linhas de Torres 22 6677-920,1960-03-17
199323334,844267642,David Campos,998557253,Amora Praça Beatriz Pinheiro 35 3226-491,2001-05-22
291286877,759023843,Sara Gaspar,999358579,Montijo Alameda Miranda 237 8392-254,1975-01-20
790388856,803254844,Adriana Pereira,930568919,Vila Real de Santo António Rua de Vaz 89 4692-026,1966-04-27
366062727,868250118,Márcio Miranda,913713883,Pinhel Travessa Eduarda Nogueira 81 0338-007,1965-03-03
799405980,453882003,Nair Batista,903910304,Rebordosa R. Maia 80 4055-299,2002-07-30
740437584,665960737,Sebastião Miranda,908621690,Caldas da Rainha R. Carolina Michaelis de Vasconcelos 36 9760-185,1975-01-22
635991035,398769972,Núria Fonseca,904061699,Vila Nova de Foz Côa Largo de Matias 82 4226-074,2002-05-24
664374231,626321701,Patrícia Paiva,916603121,Coimbra Largo Yasmin Melo 814 8384-280,1980-01-02
339298794,711521150,Ema Silva,921779612,Espinho Rua Vieira 81 6886-936,1995-05-10
271006702,876975942,Bruna Maia,963015863,Horta Praça de Nogueira S/N 1944-638,1971-05-05
264846966,889823430,Brian Gomes,970389993,São Mamede de Infesta Av de Maria Pia 37 7032-096,1952-06-28
319053006,652676148,Edgar Marques,997178183,Albufeira Travessa Ferreira 69 8113-959,1967-12-31
536226709,377455500,Nicole Azevedo,909032256,Coimbra Avenida Fernandes 770 5405-300,1997-01-14
888550371,229342811,Núria Santos,940191013,Espinho Avenida de Pacheco 9 1498-070,1968-07-12
224909897,330156405,Emília-Iara Correia,908552283,Lagoa Rua Matilde Neto 10 1012-737,1949-07-08
793993893,694798983,Micael do Campos,957003536,Santa Maria da Feira R. Henriques 25 3613-087,1981-05-21
692412627,614441758,Isabela Assunção,938305585,Tavira Largo de Mendes 935 3099-809,1993-10-15
293161463,577127637,Petra Reis,969699468,Fundão Rua Mélanie Mota 9 7315-362,1977-12-21
128371691,877236201,Brian Cruz-Amorim,966758807,Lisboa R. das Virtudes 21 0083-844,2000-09-23
375041751,725135886,Rui Simões,977300220,Vila Real Travessa Vera Alves 13 6835-384,1973-05-10
130284094,342771169,Lucas Mendes,951424961,Elvas Av Matias 32 6410-802,1999-12-19
189635260,916178516,Rodrigo Matos,970329937,Lourosa R. da Raposa 32 6108-542,1985-02-04
503710174,663768296,Diogo Teixeira,989462264,Rio Maior Travessa Vieira 46 3253-202,1981-06-26
736707001,965584399,Simão da Paiva,952218628,Oliveira de Azeméis R. João Simões 53 6544-343,1953-12-12
425215188,601118097,Sara Ramos-Matos,982813094,Marco de Canaveses Av de Anjos 42 5986-314,1998-01-23
697573569,721955252,Júlia Assunção,985497257,Macedo de Cavaleiros R. da Beneditina 57 6202-098,1989-03-10
332203502,826945573,Sandro Vaz,965874528,Fiães Rua Mota 73 5531-202,1979-03-05
555801323,809660819,Vitória Sá,954111275,Horta Av de Baptista 27 9845-563,1948-12-16
336581053,668985474,Eduarda Amaral,977395105,Paredes Praça Pinheiro 1 7853-853,1970-01-31
103011247,732127498,Marta Gonçalves,984905259,Trofa Avenida Neto 33 3366-131,1995-12-13
554129442,331066287,Íris Soares-Azevedo,948669303,Vila Real Rua Márcio Fonseca 942 7286-626,1984-03-11
775463364,269434116,António Fonseca,963867629,Lamego R. Sandro Pinho 5 4907-084,1994-04-12
503771032,411132722,Álvaro da Branco,966837599,Covilhã Rua das Congostas 8 2833-765,1978-10-14
403197062,127091043,Camila Neves,993255482,Loulé Av Correia 96 4995-529,1982-11-01
467506773,247020208,Tomé Figueiredo,984986997,Valbom Rua Rocha 59 0042-278,1962-07-08
627728112,316596240,Luana Moreira,936738686,Valongo R. Machado 313 9912-986,1993-06-30
727850874,999548876,Diogo Esteves,936893112,Beja Av de Sá 7 0696-833,1953-04-27
350106941,581323386,Margarida Lourenço,962980070,Guarda Praça Isaac Figueiredo 6 3503-474,1962-05-08
669118616,553821893,Lia Loureiro,989305570,Sintra Praça Lourenço Miranda 76 7237-360,1963-10-11
392010843,248168606,Lúcia-Lúcia Pereira,930951782,Praia da Vitória Avenida de Vandoma 33 3219-676,1985-09-22
974218089,610325414,Fabiana Borges,959309817,Costa da Caparica Rua Amélia Fernandes S/N 5833-356,1964-12-18
212493021,374035237,Carolina Nascimento,920061161,Figueira da Foz Avenida dos Flamingos 821 6412-880,1975-02-11
815203499,385583294,Fábio Freitas,988350564,Santiago do Cacém Largo Gonçalves S/N 7375-605,1964-08-15
404110910,956708285,Kevin Sá,953752544,Moura R. Pupilos do Exército 35 1997-183,1979-05-29
817980627,366842049,Cláudio Simões,937966112,Paredes Av de Magalhães 25 2596-040,1984-07-19
114787795,839495705,Edgar Freitas,912176650,Oliveira do Hospital Praça de Azevedo S/N 7858-439,1951-11-09
988264164,458410113,Miriam Fonseca-Moura,935992996,Freamunde Av Renata Henriques S/N 9461-430,1974-10-16
996804571,209190010,Kevin Anjos,970220056,Tarouca Praça Soares 580 5122-548,1948-07-03
526329840,131681856,Eduarda Fernandes,979592233,Entroncamento R. Assunção 710 2427-737,1953-01-17
528175697,310771115,Pilar Cruz,994204684,Beja Alameda de Neves 14 2821-440,1982-07-09
557133075,740560349,Nelson Amaral,976050183,Mirandela Largo de João Augusto Ribeiro 357 9517-746,2002-08-28
344672194,981784106,Paulo Valente,951846296,Beja Praça Professor José Conde 2 5080-261,1991-11-01
337336815,180782292,Sara Rocha,987499977,Ourém Largo de Marques 1 6875-257,1984-12-27
491430606,274837334,Guilherme do Esteves,947546631,Montijo Travessa Nicole Rodrigues 80 5720-035,1974-04-23
454427846,478884765,Carminho Barros,955416845,Almeirim Alameda do Trancão 83 1550-932,1977-12-11
197135069,197819323,Matias Morais,916912221,Câmara de Lobos Alameda Juliana Mendes 99 5405-685,1957-03-29
614163067,830935797,Mia Maia,929640699,Montemor-o-Novo Travessa da Cruz S/N 5980-086,1953-07-06
786382164,900274662,Jorge Marques-Ferreira,938930050,Seia Alameda do Forno Velho 7 1431-150,1957-07-07
224969279,750715699,Henrique Carneiro-Campos,908189169,Estarreja Alameda Almeida 329 7119-917,1953-05-27
353687872,896507785,Teresa Anjos,939258767,Santarém R. de Carneiro 212 0328-319,1957-03-09
479101670,266806704,Joel Pinheiro,913804536,Tomar Av Kelly Costa 759 5449-539,1964-02-18
434832903,391556878,Mauro Pinto,977891744,Mangualde Travessa de Gustavo Eiffel 95 3657-969,2003-09-13
